run_accession	scientific_name	sample_lat	sample_lon	biome	mapping	Assembling
SRR7968364	soil	44.23	-122.22	Terrestrial	Yes	Yes
SRR8426854	soil	42.48	-72.1787	Terrestrial	Yes	Yes
SRR4022106	soil	42.533	-72.2095	Terrestrial	Yes	Yes
SRR4022103	soil	42.4711	-72.1726	Terrestrial	Yes	Yes
SRR8425787	soil	42.48	-72.1787	Terrestrial	Yes	Yes
SRR8443306	soil	33.305	-116.2548	Terrestrial	Yes	Yes
SRR3984668	soil	39.53	-96.5828	Terrestrial	Yes	Yes
SRR1586297	soil	79.838575	-91.28136	Terrestrial	Yes	Yes
SRR8879041	soil	18.321	-65.8172	Terrestrial	Yes	Yes
SRR3982488	soil	35.913	-79.056	Terrestrial	Yes	Yes
SRR5204863	soil	39.7392	-123.6308	Terrestrial	Yes	Yes
SRR1586251	soil	79.4161	-90.76295	Terrestrial	Yes	Yes
SRR1586275	soil	79.838575	-91.28136	Terrestrial	Yes	Yes
SRR1586310	soil	79.4161	-90.76295	Terrestrial	Yes	Yes
SRR9041122	soil	18.321	-65.8172	Terrestrial	Yes	Yes
SRR1586296	soil	79.838575	-91.28136	Terrestrial	Yes	Yes
ERR2233334	soil	43.93333	-71.75	Terrestrial	Yes	Yes
SRR5436853	soil	39.7392	-123.6308	Terrestrial	Yes	Yes
SRR5438876	soil	39.7392	-123.6308	Terrestrial	Yes	Yes
SRR5213078	soil	39.7181	-123.6527	Terrestrial	Yes	Yes
SRR3979978	soil	38.88	-120.64	Terrestrial	Yes	Yes
SRR3983528	soil	35.913	-79.056	Terrestrial	Yes	Yes
SRR1586269	soil	79.838575	-91.28136	Terrestrial	Yes	Yes
SRR988094	soil	34.9757	-97.519	Terrestrial	Yes	Yes
SRR7686999	soil	40.4449	-87.0297	Terrestrial	Yes	Yes
SRR3977125	soil	38.88	-120.64	Terrestrial	Yes	Yes
SRR4289287	soil	36.02	108.31	Terrestrial	Yes	Yes
SRR9043682	soil	18.321	-65.8172	Terrestrial	Yes	Yes
SRR988093	soil	34.9757	-97.519	Terrestrial	Yes	Yes
SRR4289286	soil	36.04	108.32	Terrestrial	Yes	Yes
NGHSL344589	urban	8.49664	4.54214	Urban	Yes	Yes
NGHSL344561	urban	8.49664	4.54214	Urban	Yes	Yes
NGHSL344612	urban	8.49664	4.54214	Urban	Yes	Yes
MCMSL336390	urban	59.33258	18.0649	Urban	Yes	Yes
75CSL263705	urban	38.58157	-121.4944	Urban	Yes	Yes
MGWSL342510	urban	21.30694	-157.85833	Urban	Yes	Yes
MGTSL342638	urban	47.0	8.0	Urban	Yes	Yes
MCMSL335887	urban	25.27932	51.52245	Urban	Yes	Yes
MCMSL336386	urban	59.33258	18.0649	Urban	Yes	Yes
MCMSL336199	urban	50.45466	30.5238	Urban	Yes	Yes
MGMSL343337	urban	1.28967	103.85007	Urban	Yes	Yes
MCMSL336388	urban	59.33258	18.0649	Urban	Yes	Yes
T5YSL357305	urban	25.04776	121.53185	Urban	Yes	Yes
BCN-094-29786	urban	41.38879	2.15899	Urban	Yes	Yes
CY5SL271130	urban	51.50853	-0.12574	Urban	Yes	Yes
CCGSL270214	urban	51.50853	-0.12574	Urban	Yes	Yes
7HJSL272777	urban	8.49664	4.54214	Urban	Yes	Yes
MCMSL335943	urban	38.75382	-9.23083	Urban	Yes	Yes
75CSL263700	urban	-37.78333	175.28333	Urban	Yes	Yes
CCGSL270206	urban	51.50853	-0.12574	Urban	Yes	Yes
KC3SL254749	urban	35.6895	139.69171	Urban	Yes	Yes
7KYSL273086	urban	64.83778	-147.71639	Urban	Yes	Yes
MGWSL342269	urban	59.33258	18.0649	Urban	Yes	Yes
7HJSL272744	urban	8.49664	4.54214	Urban	Yes	Yes
MGMSL343428	urban	50.45466	30.5238	Urban	Yes	Yes
T5YSL357341	urban	25.04776	121.53185	Urban	Yes	Yes
7KYSL273102	urban	52.52437	13.41053	Urban	Yes	Yes
MCMSL336441	urban	59.33258	18.0649	Urban	Yes	Yes
KC3SL254742	urban	8.49664	4.54214	Urban	Yes	Yes
T5YSL357478	urban	35.6895	139.69171	Urban	Yes	Yes
SRR5630630	wastewater	22.15	114.15	Wastewater	Yes	Yes
SRR2938155	wastewater	14.011458	-89.192836	Wastewater	Yes	Yes
SRR2938084	wastewater	14.011458	-89.192836	Wastewater	Yes	Yes
SRR4289300	wastewater	39.9	116.41	Wastewater	Yes	Yes
SRR2938211	wastewater	14.011458	-89.192836	Wastewater	Yes	Yes
SRR5459769	wastewater	43.023	-87.895	Wastewater	Yes	Yes
SRR2938072	wastewater	-11.896504	-77.016105	Wastewater	Yes	Yes
SRR2938095	wastewater	14.011458	-89.192836	Wastewater	Yes	Yes
SRR5413244	wastewater	-33.927	18.452665	Wastewater	Yes	Yes
ERR977425	wastewater	57.049957	9.865377	Wastewater	Yes	Yes
SRR2938067	wastewater	14.011458	-89.192836	Wastewater	Yes	Yes
SRR2938078	wastewater	-11.896504	-77.016105	Wastewater	Yes	Yes
SRR2938231	wastewater	-11.896504	-77.016105	Wastewater	Yes	Yes
SRR10868582	wastewater	69.126883	-105.03092	Wastewater	Yes	Yes
SRR8327731	wastewater	-31.201857	-61.822226	Wastewater	Yes	Yes
SRR2938258	wastewater	-11.896504	-77.016105	Wastewater	Yes	Yes
SRR7638743	wastewater	22.509172	114.120394	Wastewater	Yes	Yes
SRR2938066	wastewater	14.011458	-89.192836	Wastewater	Yes	Yes
SRR2938250	wastewater	-11.896504	-77.016105	Wastewater	Yes	Yes
SRR7638753	wastewater	22.217003	114.213001	Wastewater	Yes	Yes
SRR1145888	wastewater	31.3	121.5	Wastewater	Yes	Yes
SRR2938176	wastewater	14.011458	-89.192836	Wastewater	Yes	Yes
SRR2938232	wastewater	-11.896504	-77.016105	Wastewater	Yes	Yes
ERR712373	wastewater	57.04951	9.864788	Wastewater	Yes	Yes
SRR2938214	wastewater	14.011458	-89.192836	Wastewater	Yes	Yes
ERR712380	wastewater	57.04951	9.864788	Wastewater	Yes	Yes
SRR5630638	wastewater	22.15	114.15	Wastewater	Yes	Yes
SRR2938158	wastewater	14.011458	-89.192836	Wastewater	Yes	Yes
SRR5413245	wastewater	-33.927	18.452665	Wastewater	Yes	Yes
ERR1418124	wastewater	57.048065	9.865464	Wastewater	Yes	Yes
SRR10491656	wetland	38.224518	-122.019257	Freshwater	Yes	Yes
SRR10493308	wetland	38.15012	-122.438774	Freshwater	Yes	Yes
SRR10497951	wetland	38.107536	-121.649704	Freshwater	Yes	Yes
SRR5817586	wetland	41.382783	-82.51465	Freshwater	Yes	Yes
SRR10143164	wetland	41.3778	-82.5111	Freshwater	Yes	Yes
SRR10493301	wetland	38.000706	-121.624306	Freshwater	Yes	Yes
SRR10499794	wetland	38.13147	-122.265465	Freshwater	Yes	Yes
SRR5825480	wetland	47.5028	-93.4828	Freshwater	Yes	Yes
SRR10492814	wetland	38.224518	-122.019257	Freshwater	Yes	Yes
SRR10499109	wetland	38.107521	-121.649681	Freshwater	Yes	Yes
SRR10499107	wetland	38.107521	-121.649681	Freshwater	Yes	Yes
SRR5825846	wetland	47.5028	-93.4828	Freshwater	Yes	Yes
SRR10143270	wetland	41.3776	-82.5117	Freshwater	Yes	Yes
SRR5817587	wetland	41.382783	-82.51465	Freshwater	Yes	Yes
SRR5825483	wetland	47.5028	-93.4828	Freshwater	Yes	Yes
SRR10168147	wetland	41.3776	-82.5117	Freshwater	Yes	Yes
SRR5246790	wetland	38.1075	-121.6497	Freshwater	Yes	Yes
SRR10499137	wetland	38.107521	-121.649681	Freshwater	Yes	Yes
SRR5825842	wetland	47.5028	-93.4828	Freshwater	Yes	Yes
SRR10143150	wetland	41.3776	-82.5117	Freshwater	Yes	Yes
SRR10492096	wetland	38.224518	-122.019257	Freshwater	Yes	Yes
SRR10493307	wetland	38.000706	-121.624306	Freshwater	Yes	Yes
SRR10541832	wetland	38.015041	-122.501831	Freshwater	Yes	Yes
SRR5824231	wetland	47.5028	-93.4828	Freshwater	Yes	Yes
SRR10492072	wetland	38.224518	-122.019257	Freshwater	Yes	Yes
SRR10493305	wetland	38.000706	-121.624306	Freshwater	Yes	Yes
SRR5825478	wetland	47.5028	-93.4828	Freshwater	Yes	Yes
SRR5817590	wetland	41.382783	-82.51465	Freshwater	Yes	Yes
SRR10493288	wetland	38.000637	-121.624207	Freshwater	Yes	Yes
SRR5824233	wetland	47.5028	-93.4828	Freshwater	Yes	Yes
