run_accession	scientific_name	sample_lat	sample_lon	biome	mapping	Assembling
ERR2105748	freshwater	59.911491	10.757933	Freshwater	Yes	Yes
ERR2163668	freshwater	59.911491	10.757933	Freshwater	Yes	Yes
SRR5997547	freshwater	1.39	103.92	Freshwater	Yes	Yes
SRR1995429	freshwater	41.12	-77.84	Freshwater	Yes	Yes
SRR6986812	freshwater	47.25	132.03	Freshwater	Yes	Yes
SRR6986823	freshwater	36.06	120.2	Freshwater	Yes	Yes
SRR9289416	freshwater	41.6642	-87.5375	Freshwater	Yes	Yes
SRR5429805	freshwater	39.02	-76.16	Freshwater	Yes	Yes
SRR6986817	freshwater	37.45	112.39	Freshwater	Yes	Yes
SRR1995428	freshwater	41.12	-77.84	Freshwater	Yes	Yes
SRR6986819	freshwater	38.28	106.13	Freshwater	Yes	Yes
ERR2105754	freshwater	59.911491	10.757933	Freshwater	Yes	Yes
SRR5997549	freshwater	1.381	103.915	Freshwater	Yes	Yes
SRR5997544	freshwater	1.3	103.89	Freshwater	Yes	Yes
SRR1173877	freshwater	38.5355	-0.2663	Freshwater	Yes	Yes
SRR5429782	freshwater	38.08	-75.92	Freshwater	Yes	Yes
SRR10069935	freshwater	-6.4021	-50.351	Freshwater	Yes	Yes
ERR2105755	freshwater	59.911491	10.757933	Freshwater	Yes	Yes
SRR6986824	freshwater	34.55	118.41	Freshwater	Yes	Yes
SRR5429784	freshwater	38.08	-75.92	Freshwater	Yes	Yes
SRR5997543	freshwater	1.29	103.86	Freshwater	Yes	Yes
SRR6986820	freshwater	38.03	116.2	Freshwater	Yes	Yes
SRR6986811	freshwater	1.21	103.43	Freshwater	Yes	Yes
SRR6986825	freshwater	31.1	121.27	Freshwater	Yes	Yes
SRR5210215	freshwater	37.496	-122.1329	Freshwater	Yes	Yes
SRR1986369	freshwater			Freshwater	Yes	Yes
SRR5997540	freshwater	1.42	103.72	Freshwater	Yes	Yes
SRR5429806	freshwater	39.02	-76.16	Freshwater	Yes	Yes
SRR5210467	freshwater	37.496	-122.1329	Freshwater	Yes	Yes
