ID	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species
FengQ_2015__SID530558.part-2_3625	Viruses	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Rhadinovirus	Macacine gammaherpesvirus 12
DRR125121_305075	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
DRR125121_343580	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
DRR147678_128977	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	NA	NA
Bengtsson-PalmeJ_2015__TRAVELRES52_1861	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Peduoviridae	NA	NA
50m_S10_L004_13272	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
AsnicarF_2017__MV_FEM2_t1Q14_571	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Brigitvirus	Brigitvirus brigit
50m_S10_L004_28252_1	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
DRR125123_1002285_1	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Immutovirus	Immutovirus immuto
DRR125123_71954_1	Viruses	NA	NA	NA	NA	NA	NA	NA
4_S2_L001_13493	NA	NA	NA	NA	NA	NA	NA	NA
4_S2_L001_13793	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Samwavirus	Samwavirus adelaide
DRR151115_53024	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
DRR151115_43216	Viruses	NA	NA	NA	NA	NA	NA	NA
DRR151115_28384	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
17_S4_L002_6802	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
17_S4_L002_7085	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Kungbxnavirus	Kungbxnavirus pT24
DRR147675_56332	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	NA	Thalassomonas phage BA3
4_S2_L001_4486	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Emdodecavirus	NA
50m_S10_L004_9072	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Godonkavirus	Godonkavirus godonK
50m_S10_L004_9314	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
10S1_S5_L002_5514	Viruses	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Prymnesiovirus	Phaeocystis globosa virus
10S1_S5_L002_5717	Viruses	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	NA	Yellowstone lake mimivirus
ZellerG_2014__CCIS45793747ST-4-0.part-1_375	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Arawnvirus	Arawnvirus arawn
50m_S10_L004_40040	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
DRR147671_78383	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Autographiviridae	NA	NA
DRR147671_56862	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Polybotosvirus	Polybotosvirus Atuph07
DRR147674_52500	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	NA	Puniceispirillum phage HMO-2011
DRR147675_102433	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Jasminevirus	NA
DRR147675_26192	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
DRR147673_20736	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	NA	Lactobacillus phage phi jlb1
DRR147673_20939	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
DRR147675_83718	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	NA	NA
DRR147678_29591	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	NA	NA
DRR147679_5935	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
DRR147672_55372	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	NA	Synechococcus phage S-CBS3
DRR147672_58908	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Alachuavirus	Alachuavirus Xp15
NielsenHB_2014__V1_CD6_4.part-1_5151	Viruses	Sangervirae	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	NA	Lepus americanus faeces associated microvirus SHP1 6472
DRR151114_79333	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	NA	Cyanophage KBS-S-2A
DRR151114_87846	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
