			
			
Samples (NCBI, JGI, MetaSub project)	Lat	Lon	Countries
MGWSL342453	59.33258	18.0649	Sweden
MGWSL342456	59.33258	18.0649	Sweden
MGWSL342458	59.33258	18.0649	Sweden
MGWSL342516	59.33258	18.0649	Sweden
MGWSL342519	59.33258	18.0649	Sweden
MGWSL342520	59.33258	18.0649	Sweden
8067.5.90158.TGGTGA	33.6910196293447	-112.156535100397	United States of America
8067.5.90158.AACCAG	31.7531176362816	-93.4795513603767	United States of America
8067.5.90158.GTCGTA	33.6910196293447	-112.156535100397	United States of America
8067.4.90153.AAGCCT	33.6910196293447	-112.156535100397	United States of America
8067.4.90153.GTGCTT	35.8691314464766	-97.1475735428174	United States of America
8067.4.90153.ACCTCA	33.6910196293447	-112.156535100397	United States of America
8067.3.90155.GCACTA	35.8691314464766	-97.1475735428174	United States of America
8067.3.90155.TTGGCA	39.8533627020016	-105.830795977311	United States of America
8023.5.90052.CACAGT	33.6910196293447	-112.156535100397	United States of America
8023.5.90052.GAGTCA	37.8639762634369	-122.324500014579	NA
8067.2.90157.GGAGAA	39.2376695379599	-76.6565371655733	United States of America
8067.3.90155.AAGAGG	39.2376695379599	-76.6565371655733	United States of America
8067.2.90157.GTCGTA	39.2376695379599	-76.6565371655733	United States of America
8067.2.90157.AAGCCT	39.2376695379599	-76.6565371655733	United States of America
8066.5.90150.GTCGTA	37.6792445820495	-78.6788427023647	United States of America
8023.5.90052.GTGCTT	39.2376695379599	-76.6565371655733	United States of America
SRR1000232	41.27	-74.6519444444445	United States of America
SRR1000254	41.27	-74.6519444444445	United States of America
SRR1000260	41.27	-74.6519444444445	United States of America
SRR1000269	41.27	-74.6519444444445	United States of America
SRR12002701	1.5813889	104.143611111111	Malaysia
SRR12002702	1.5813889	104.143611111111	Malaysia
SRR12002703	1.5813889	104.143611111111	Malaysia
SRR12002704	1.5813889	104.143611111111	Malaysia
SRR12002705	1.5813889	104.143611111111	Malaysia
SRR12002706	1.5813889	104.143611111111	Malaysia
SRR12002707	1.5813889	104.143611111111	Malaysia
SRR12002708	1.5813889	104.143611111111	Malaysia
SRR12002709	1.5813889	104.143611111111	Malaysia
SRR12002710	1.5813889	104.143611111111	Malaysia
SRR12002711	1.5813889	104.143611111111	Malaysia
SRR12002712	1.5813889	104.143611111111	Malaysia
SRR12002713	1.5813889	104.143611111111	Malaysia
SRR12002714	1.5813889	104.143611111111	Malaysia
SRR12002715	1.5813889	104.143611111111	Malaysia
SRR12002716	1.5813889	104.143611111111	Malaysia
SRR12002717	1.5813889	104.143611111111	Malaysia
SRR12002718	1.5813889	104.143611111111	Malaysia
SRR12002719	1.5813889	104.143611111111	Malaysia
SRR12002720	1.5813889	104.143611111111	Malaysia
SRR12002721	1.5813889	104.143611111111	Malaysia
SRR12002722	1.5813889	104.143611111111	Malaysia
SRR12002723	1.5813889	104.143611111111	Malaysia
