ID	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species
8067.4.90153.GTGCTT_4222	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	Lactobacillus phage phi jlb1
ERR3230152_63982	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
8067.2.90157.GTCGTA_12588	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Beetrevirus	NA
ERR3230153_218960	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
ERR3230153_146202	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Godonkavirus	Godonkavirus godonK
ERR3230152_268441	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Autographiviridae	NA	NA
ERR3230156_287436	Viruses	NA	NA	NA	NA	NA	NA	NA
8067.2.90157.AAGCCT_1777	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	Clostridium phage phiCTP1
K7GSL311016_266	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
K7GSL311021_4	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Juiceboxvirus	Juiceboxvirus juicebox
ERR3230152_210882	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Kyanoviridae	Haifavirus	Haifavirus tim68
ERR3230152_22098	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Hapunavirus	Hapunavirus VP882
ERR3230152_125612	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Autographiviridae	Lingvirus	Lingvirus PGSP1
ERR3230153_39915	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
ERR3230153_158932_1	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
K7GSL311018_495	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Teubervirus	NA
ERR3230155_188231	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Badaztecvirus	NA
ERR3230155_52724	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	Nocardia phage NBR1
ERR3230149_250108	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Astrithrvirus	Astrithrvirus astrithr
ERR3230155_187821	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Sextaecvirus	NA
8067.2.90157.GTCGTA_8430	Viruses	NA	NA	NA	NA	NA	NA	NA
8067.4.90153.ACCTCA_17951	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
ERR3230147_195266	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Kochitakasuvirus	NA
ERR3230155_230425	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	Pseudomonas phage phiPSA1
8131.3.91983.GTCGTA_4056	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Fipvunavirus	NA
ERR3230151_225440	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Rauchvirus	Rauchvirus BPP1
8067.6.90152.AAGCCT_4803	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Lastavirus	Lastavirus sopranogao
ERR3230156_305831	Viruses	Pararnavirae	Artverviricota	Revtraviricetes	Ortervirales	Metaviridae	NA	NA
ERR3230152_44365	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Kyanoviridae	Salacisavirus	Salacisavirus pssm2
ERR3230152_167541	Viruses	NA	NA	NA	NA	NA	NA	NA
ERR3230155_126281	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Rockefellervirus	NA
8066.6.90144.AAGAGG_6248	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Winoviridae	NA	NA
ERR3230147_278541	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Duneviridae	NA	NA
K7GSL311020_3	Viruses	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	NA	NA
ERR3230155_206987	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Pahexavirus	Propionibacterium phage PA1-14
ERR3230155_193910	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Herelleviridae	NA	NA
ERR3230155_54829	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Zierdtviridae	Ceetrepovirus	NA
8023.5.90052.GAGTCA_15608	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Fipvunavirus	NA
ERR3230155_163174	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	Riemerella phage RAP44
ERR3230152_149161	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Autographiviridae	Tiamatvirus	Tiamatvirus PSSP7
ERR3230150_264462	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Sextaecvirus	NA
K7GSL311022_17	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
ERR3230153_21613	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Magadivirus	Magadivirus Mgbh1
8067.5.90158.TGGTGA_5923	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Winoviridae	Pippivirus	NA
ERR3230155_172030	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	Geobacillus virus E3
8023.5.90052.GAGTCA_13980	Viruses	Bamfordvirae	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Parapoxvirus	Grey sealpox virus
ERR3230155_105015	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	Rhodococcus phage RRH1
