ID	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species
BackhedF_2015__SID12_12M_1236	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Peduoviridae	NA	NA
AsnicarF_2017__MV_FEM2_t1Q14_131	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
BackhedF_2015__SID103_12M_567	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
BackhedF_2015__SID105_M_2638	Viruses	NA	NA	NA	NA	NA	NA	NA
ZellerG_2014__CCMD13934959ST-21-0.part-1_556	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
ZeeviD_2015__PNP_Main_157.part-1_458_fragment_1	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Fernvirus	Fernvirus P123
CM_madagascar__A85_01_1FE.part-1_122	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Peduoviridae	Catalunyavirus	Catalunyavirus C5a
ZellerG_2014__CCIS45793747ST-4-0.part-1_109	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
AsnicarF_2017__MV_FEM2_t1Q14_2057	Viruses	NA	NA	NA	NA	NA	NA	NA
ZeeviD_2015__PNP_Main_157.part-2_1286	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Lughvirus	Lughvirus lugh
ZeeviD_2015__PNP_Main_104.part-1_2469	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
BackhedF_2015__SID128_12M_3275	Viruses	NA	NA	NA	NA	NA	NA	Mollivirus sibericum
BackhedF_2015__SID12_B_608	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
FengQ_2015__SID530558.part-2_1620	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
NielsenHB_2014__V1_UC2_4.part-1_2297	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Magadivirus	Magadivirus Mgbh1
BackhedF_2015__SID105_M_467	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
LiJ_2014__V1.FI28.part-2_9301	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
BackhedF_2015__SID10_12M_908	Viruses	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	NA	NA
BackhedF_2015__SID12_M_817	Viruses	NA	NA	NA	NA	Guttaviridae	Betaguttavirus	Betaguttavirus kodakarajimaense
BackhedF_2015__SID103_12M_394	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Aliceevansviridae	Brussowvirus	Brussowvirus 20617
CosteaPI_2017__daisy-11-386-0.part-1_1443	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
BackhedF_2015__SID12_B_2	Viruses	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	NA	NA
BackhedF_2015__SID133_12M_103	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Peduoviridae	Gemsvirus	Gemsvirus gv5004652
LeChatelierE_2013__MH0205.part-2_2907	Viruses	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	NA	Orpheovirus IHUMI-LCC2
QinN_2014__LD-13_5269	Viruses	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	NA	NA
LeChatelierE_2013__MH0425.part-2_2351	Viruses	NA	NA	NA	NA	NA	Pandoravirus	NA
QinN_2014__LD-13_3697	Viruses	NA	NA	NA	NA	NA	NA	NA
LeChatelierE_2013__MH0436.part-1_2370	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
LeChatelierE_2013__MH0205.part-1_91_fragment_2	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
AsnicarF_2017__MV_FEI5_t2Q14_1118	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Chiangmaivirus	NA
BackhedF_2015__SID133_M_2559	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Straboviridae	NA	NA
ZeeviD_2015__PNP_Main_586.part-1_90	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Crassvirales	Suoliviridae	Afonbuvirus	Afonbuvirus faecalis
LeChatelierE_2013__MH0412.part-1_122_fragment_1	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Incheonvirus	NA
AsnicarF_2017__MV_FEM5_t1Q14_4886	NA	NA	NA	NA	NA	NA	NA	NA
BackhedF_2015__SID10_M_6334	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Immutovirus	Immutovirus immuto
ZeeviD_2015__PNP_Main_680.part-1_265	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Fernvirus	Fernvirus P123
BackhedF_2015__SID10_M_28	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Crassvirales	NA	NA	NA
AsnicarF_2017__MV_FEM4_t1Q14_644	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Peduoviridae	Peduovirus	Peduovirus pro147
CM_madagascar__A85_01_1FE.part-1_828	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Rountreeviridae	NA	NA
BackhedF_2015__SID128_12M_1151	Viruses	NA	NA	NA	NA	NA	NA	NA
LeChatelierE_2013__MH0412.part-1_8_fragment_1	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
BackhedF_2015__SID130_M_297	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Donellivirus	Donellivirus gee
BackhedF_2015__SID133_12M_706	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
BackhedF_2015__SID12_M_59_1	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
BackhedF_2015__SID12_12M_349	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	Lactococcus phage bIL285
BackhedF_2015__SID10_12M_50_1	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	Riemerella phage RAP44
LiuW_2016__SRR3992979.part-1_11748	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
VogtmannE_2016__MMRS43939546ST-27-0-0.part-2_1417	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
LeChatelierE_2013__MH0412.part-1_394	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Crassvirales	Steigviridae	Lahndsivirus	Lahndsivirus rarus
ZeeviD_2015__PNP_Main_104.part-1_581	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Winoviridae	Peternellavirus	Peternellavirus peternella
BackhedF_2015__SID133_12M_561	Viruses	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Phaeovirus	NA
BackhedF_2015__SID128_M_1_1	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Samwavirus	NA
BackhedF_2015__SID12_12M_273	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Colneyvirus	Colneyvirus CD27
AsnicarF_2017__MV_FEM5_t3Q15_2316_1	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
